DADOS,,,,,,,,,,,,,
Titulo,Projeto 2 - Ca,,,,,,,,,,,,
Tipologia,Sobrado,,,,,,,,,,,,
Área Terreno,"300,00",,,,,,,,,,,,
Área Construída,"249,24",,,,,,,,,,,,
Área Fundação,"161,55",,,,,,,,,,,,
Área Fachada,"747,17",,,,,,,,,,,,
Área Parede,"662,06",,,,,,,,,,,,
Qtde BWCs,"4,00",,,,,,,,,,,,
,,,,,,,,,,,,,
TABELA DE ORÇAMENTO,,,,,,,,,,,,,
Item,Referência,Tipo,Código,Descrição,Unid.,Quantidade,BDI,Preço Material,,Preço Execução,,Preço,
,,,,,,,,Unitário,Total,Unitário,Total,Unitário,Total
1.,,,, ,,,"0,0%",,,," R$  8.086,25 ",," R$  8.086,25 "
1.1.,,,,SONDAGEM,,,"0,0%",,,," R$  3.000,00 ",," R$  3.000,00 "
1.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-SON,SONDAGEM,VB,1,"0,0%",,," R$  3.000,00 "," R$  3.000,00 "," R$  3.000,00 "," R$  3.000,00 "
1.2.,,,,LEVANTAMENTO TOPOGRAFICO,,,"0,0%",,,," R$  1.200,00 ",," R$  1.200,00 "
1.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-LVT,LEVANTAMENTO TOPOGRAFICO,VB,1,"0,0%",,," R$  1.200,00 "," R$  1.200,00 "," R$  1.200,00 "," R$  1.200,00 "
1.3.,,,,TAXAS DE APROVACAO,,,"0,0%",,,," R$  3.708,69 ",," R$  3.708,69 "
1.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-APR,APROVACAO DE PROJETOS E TAXAS,VB,1,"0,0%",,," R$  2.000,00 "," R$  2.000,00 "," R$  2.000,00 "," R$  2.000,00 "
1.3.2,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-IMP,CUSTOS DE IMPRESAO E PLOTAGEM,VB,1,"0,0%",,," R$  800,00 "," R$  800,00 "," R$  800,00 "," R$  800,00 "
1.3.3,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-RRT,TAXA RRT,VB,1,"0,0%",,," R$  108,69 "," R$  108,69 "," R$  108,69 "," R$  108,69 "
1.3.4,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-PRT,TAXA PROTOCOLO,VB,1,"0,0%",,," R$  800,00 "," R$  800,00 "," R$  800,00 "," R$  800,00 "
1.4.,,,,RESPONSABILIDADE TECNICA,,,"0,0%",,,," R$  177,56 ",," R$  177,56 "
1.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-ART,TAXA ART,VB,2,"0,0%",,," R$  88,78 "," R$  177,56 "," R$  88,78 "," R$  177,56 "
