DADOS,,,,,,,,,,,,,
Titulo,Projeto 3 - Je2,,,,,,,,,,,,
Tipologia,Sobrado,,,,,,,,,,,,
Área Terreno,"500,00",,,,,,,,,,,,
Área Construída,"425,00",,,,,,,,,,,,
Área Fundação,"378,31",,,,,,,,,,,,
Área Fachada,"521,67",,,,,,,,,,,,
Área Parede,"581,76",,,,,,,,,,,,
Qtde BWCs,"6,00",,,,,,,,,,,,
,,,,,,,,,,,,,
TABELA DE ORÇAMENTO,,,,,,,,,,,,,
Item,Referência,Tipo,Código,Descrição,Unid.,Quantidade,BDI,Preço Material,,Preço Execução,,Preço,
,,,,,,,, Unitário, Total, Unitário, Total, Unitário, Total
1.,,,,ETAPAS PRE OBRA,,,"0,0%",,,," R$  9.286,25 ",," R$  9.286,25 "
1.1.,,,,SONDAGEM,,,"0,0%",,,," R$  3.000,00 ",," R$  3.000,00 "
1.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-SON,SONDAGEM,VB,1,"0,0%",,," R$  3.000,00 "," R$  3.000,00 "," R$  3.000,00 "," R$  3.000,00 "
1.2.,,,,LEVANTAMENTO TOPOGRAFICO,,,"0,0%",,,," R$  2.400,00 ",," R$  2.400,00 "
1.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-LVT,LEVANTAMENTO TOPOGRAFICO,VB,2,"0,0%",,," R$  1.200,00 "," R$  2.400,00 "," R$  1.200,00 "," R$  2.400,00 "
1.3.,,,,RESPONSABILIDADE TECNICA,,,"0,0%",,,," R$  177,56 ",," R$  177,56 "
1.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-ART,TAXA ART,VB,2,"0,0%",,," R$  88,78 "," R$  177,56 "," R$  88,78 "," R$  177,56 "
1.4.,,,,TAXAS DE APROVACAO,,,"0,0%",,,," R$  3.708,69 ",," R$  3.708,69 "
1.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-RRT,TAXA RRT,VB,1,"0,0%",,," R$  108,69 "," R$  108,69 "," R$  108,69 "," R$  108,69 "
1.4.2,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-IMP,CUSTOS DE IMPRESAO E PLOTAGEM,VB,1,"0,0%",,," R$  800,00 "," R$  800,00 "," R$  800,00 "," R$  800,00 "
1.4.3,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-PRT,TAXA PROTOCOLO,VB,1,"0,0%",,," R$  800,00 "," R$  800,00 "," R$  800,00 "," R$  800,00 "
1.4.4,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-APR,APROVACAO DE PROJETOS E TAXAS,VB,1,"0,0%",,," R$  2.000,00 "," R$  2.000,00 "," R$  2.000,00 "," R$  2.000,00 "
2.,,,,SERVICOS PRELIMINARES E GERAIS,,,"0,0%",," R$  11.760,60 ",," R$  44.850,00 ",," R$  56.610,60 "
2.1.,,,,CONDICOES DE ACESSO,,,"0,0%",,,," R$  9.600,00 ",," R$  9.600,00 "
2.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CDA-EQM,CONDICAO DE ACESSO DE EQUIPAMENTOS E MATERIAIS,VB,"4,8","0,0%",,," R$  2.000,00 "," R$  9.600,00 "," R$  2.000,00 "," R$  9.600,00 "
2.2.,,,,TAPUMES,,,"0,0%",," R$  8.580,60 ",," R$  990,00 ",," R$  9.570,60 "
2.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-TPM,INSTALACAO DE TAPUME,ML,90,"0,0%"," R$  95,34 "," R$  8.580,60 "," R$  11,00 "," R$  990,00 "," R$  106,34 "," R$  9.570,60 "
2.3.,,,,TERRENO,,,"0,0%",,,," R$  5.600,00 ",," R$  5.600,00 "
2.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_TRN-LPZ-CTT,LIMPEZA DA CAMADA VEGETAL DO LOTE,M2,500,"0,0%",,," R$  11,20 "," R$  5.600,00 "," R$  11,20 "," R$  5.600,00 "
2.4.,,,,CANTEIRO DE OBRAS,,,"0,0%",," R$  2.880,00 ",," R$  28.560,00 ",," R$  31.440,00 "
2.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CSM-H20,CONSUMO DE AGUA DURANTE A OBRA,VB,"4,8","0,0%"," R$  200,00 "," R$  960,00 ",,," R$  200,00 "," R$  960,00 "
2.4.2,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CSM-ELE,CONSUMO DE ENERGIA DURANTE A OBRA,VB,"4,8","0,0%"," R$  400,00 "," R$  1.920,00 ",,," R$  400,00 "," R$  1.920,00 "
2.4.3,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-BWC-PRV,BANHEIRO PROVISORIO,VB,"4,8","0,0%",,," R$  1.500,00 "," R$  7.200,00 "," R$  1.500,00 "," R$  7.200,00 "
2.4.4,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CCB-GRS,CACAMBAS E GESTAO DE RESIDUOS,VB,"4,8","0,0%",,," R$  1.250,00 "," R$  6.000,00 "," R$  1.250,00 "," R$  6.000,00 "
2.4.5,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CON-MTR,CONTAINER PARA MATERIAL,VB,"4,8","0,0%",,," R$  1.200,00 "," R$  5.760,00 "," R$  1.200,00 "," R$  5.760,00 "
2.4.6,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-EPI-5PS,EPI E PEC PARA TIME DE 5 PESSOAS,VB,"4,8","0,0%",,," R$  2.000,00 "," R$  9.600,00 "," R$  2.000,00 "," R$  9.600,00 "
2.5.,,,,"INSTALACOES ELETRICA, HIDRAULICA, ESGOTO E AGUAS PLUVIAIS",,,"0,0%",,,," R$  100,00 ",," R$  100,00 "
2.5.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INS-PRV,INSTALACOES PROVISORIAS DE AGUA E ENERGIA,VB,1,"0,0%",,," R$  100,00 "," R$  100,00 "," R$  100,00 "," R$  100,00 "
2.6.,,,,PLACA DE OBRA,,,"0,0%",," R$  300,00 ",,,," R$  300,00 "
2.6.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-INS-PLO,INSTALACAO DE PLACA DE OBRA,VB,1,"0,0%"," R$  300,00 "," R$  300,00 ",,," R$  300,00 "," R$  300,00 "
3.,,,,INFRAESTRUTURA,,,"0,0%",," R$  126.887,46 ",," R$  110.450,64 ",," R$  237.338,10 "
3.1.,,,,MOVIMENTACAO DE TERRA,,,"0,0%",,,," R$  10.793,48 ",," R$  10.793,48 "
3.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_TRN-TER-ATR,ATERRO,M3,350,"0,0%",,," R$  30,84 "," R$  10.793,48 "," R$  30,84 "," R$  10.793,48 "
3.2.,,,,LIGACOES DE INFRAESTRUTURA,,,"0,0%",," R$  22.200,00 ",," R$  14.875,00 ",," R$  37.075,00 "
3.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_LIG-INF-CDM-MTS,LIGACOES ELETRICAS E HIDROSSANITARIAS EM CONDOMINIO - METRO QUADRADO,M2,425,"0,0%"," R$  44,00 "," R$  18.700,00 "," R$  35,00 "," R$  14.875,00 "," R$  79,00 "," R$  33.575,00 "
3.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_LIG-INF-CDM-UNI,LIGACOES ELETRICAS E HIDROSSANITARIAS EM CONDOMINIO - UNITARIO,VB,1,"0,0%"," R$  3.500,00 "," R$  3.500,00 ",,," R$  3.500,00 "," R$  3.500,00 "
3.3.,,,,FUNDACAO SUPERFICIAL,,,"0,0%",," R$  47.953,82 ",," R$  32.156,35 ",," R$  80.110,17 "
3.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-FUN-012-RAD-TEL,CONCRETAGEM DE FUNDACAO DE RADIER COM TELA DE ACO,M2,"378,31","0,0%"," R$  126,76 "," R$  47.953,82 "," R$  85,00 "," R$  32.156,35 "," R$  211,76 "," R$  80.110,17 "
3.4.,,,,MUROS,,,"0,0%",," R$  56.733,64 ",," R$  52.625,81 ",," R$  109.359,45 "
3.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_MUR-BLA-260,"MURO DE BLOCO APARENTE; H2,6M",ML,"139,32","0,0%"," R$  356,02 "," R$  49.600,09 "," R$  260,00 "," R$  36.223,20 "," R$  616,02 "," R$  85.823,29 "
